UberID,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1282360365,0.0,6,1,-37.7738026,144.98364660000001,-37.8061875,144.9443483,9060,5/26/2018,17:01:36,2808.72,17:48:24,16.23
ID3370237539,1.0,4,2,-37.8031089,145.00345359999997,-37.815175200000006,144.927539,8513,3/19/2018,5:58:42,2188.86,6:35:10,23.56
ID3245608941,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797,5/20/2018,9:55:59,13204.98,13:36:03,69.2
ID5513355678,2.0,2,7,-37.8135944,144.9374225,-37.8618349,144.90571599999998,10509,5/25/2018,0:57:53,3424.44,1:54:57,270.29
ID3275882509,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035,2/2/2018,7:05:21,11407.86,10:15:28,58.69
ID1962944997,0.0,9,6,-38.1109156,144.65417250000002,-37.7738026,144.98364660000001,51061,3/8/2018,10:17:20,12952.44,13:53:12,26.79
ID1861665934,0.0,7,2,-37.8618349,144.90571599999998,-37.8214747,144.9444227,9210,7/15/2018,20:28:56,3172.2,21:21:48,17.11
ID1729057665,0.0,7,2,-37.8618349,144.90571599999998,-37.8151534,144.9275173,11769,1/12/2018,6:52:51,3789.06,7:56:00,9.51
ID1672958107,0.0,4,5,-37.8097839,144.9932567,-37.813801,144.92699919999998,7106,5/24/2018,1:20:46,1837.68,1:51:23,14.15
ID3797150694,1.0,4,9,-37.8111528,144.9970476,-38.1109156,144.65417250000002,46586,1/3/2018,18:52:47,11170.74,21:58:57,61.44
ID3878028584,1.0,5,4,-37.801931,144.9377721,-37.815816,145.0100129,8206,6/16/2018,9:19:27,2175.18,9:55:42,17.44
ID1165702634,0.0,2,3,-37.815645,144.937896,-37.8152196,144.9854918,4958,1/6/2018,10:49:51,1238.46,11:10:29,9.53
ID3435646273,1.0,8,5,-37.807202000000004,145.0266373,-37.805049100000005,144.925635,9682,5/9/2018,4:17:18,2533.56,4:59:31,25.5
ID1373832741,0.0,8,3,-37.807202000000004,145.0266373,-37.8176863,144.9910956,4409,4/8/2018,21:55:19,1074.0,22:13:13,18.22
ID3552142464,1.0,2,8,-37.82072470000001,144.94867549999998,-37.8158343,145.04645,9214,7/7/2018,19:43:26,2664.3,20:27:50,24.73
ID1750270401,0.0,4,6,-37.803723600000005,145.010641,-37.7907967,144.985865,3579,4/11/2018,12:11:00,1030.14,12:28:10,7.8
ID1705887610,0.0,1,5,-37.812932700000005,144.9680768,-37.8047461,144.9285066,4252,1/19/2018,3:04:46,962.1,3:20:48,10.56
ID3802065288,1.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151,2/24/2018,0:06:49,4911.6,1:28:40,39.35
ID1151547847,0.0,7,4,-37.8618349,144.90571599999998,-37.80281779999999,144.992404,11042,7/8/2018,5:29:04,3616.26,6:29:20,19.96
