UberID,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5230402179,2,2,7,-37.8225695,144.95274519999998,-37.8618349,144.90571599999998,8472.0,2018-01-02,03:17:35,2885.1,04:05:40,230.62
ID1677847535,0,7,6,-37.8618349,144.90571599999998,-37.7738026,144.98364660000001,16033.0,2018-07-07,01:53:07,5320.6799999999985,03:21:47,23.52
ID3457854587,1,4,1,-37.8020781,144.9885617,-37.8156548,144.963956,3307.0,2018-01-10,00:16:13,861.2400000000001,00:30:34,18.87
ID3328177715,1,3,4,-37.824990500000006,144.98204730000003,-37.8087653,144.9961892,2852.0,2018-04-20,01:51:33,678.5400000000001,02:02:51,19.72
ID1261900839,0,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-03-28,06:07:21,11413.260000000006,09:17:34,21.36
ID1647762302,0,5,6,-37.8048626,144.92443469999998,-37.7738026,144.98364660000001,10841.0,2018-01-07,02:53:47,3266.400000000001,03:48:13,18.59
ID3481693880,1,3,6,-37.8247896,144.982697,-37.773845,144.9836895,6550.0,2018-02-18,22:55:14,1426.56,23:19:00,25.04
ID1519595245,0,9,1,-38.1109156,144.65417250000002,-37.800878000000004,144.9711567,45048.0,2018-05-27,02:58:18,10968.420000000007,06:01:06,31.17
ID1213707077,0,4,8,-37.806425,145.0080358,-37.807202000000004,145.0266373,1829.0,2018-04-11,07:26:52,455.4,07:34:27,1.29
ID1504215632,0,4,9,-37.802362,144.9915361,-38.1109156,144.65417250000002,46929.0,2018-05-10,02:20:37,11357.519999999999,05:29:54,27.46
ID3574237709,1,7,5,-37.8618349,144.90571599999998,-37.791773799999994,144.93594009999998,13806.0,2018-05-11,23:27:05,4307.699999999999,00:38:52,32.36
ID3608579587,1,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-07-08,06:05:38,12681.059999999998,09:36:59,53.78
ID3346261741,1,4,7,-37.81074,145.0139863,-37.8618349,144.90571599999998,12686.0,2018-03-12,08:04:08,3983.0400000000013,09:10:31,17.94
ID1509206932,0,4,7,-37.8001032,145.0050381,-37.8618349,144.90571599999998,12422.0,2018-03-24,22:58:46,3945.840000000002,00:04:31,21.05
ID1774019647,0,5,3,-37.8045967,144.9196376,-37.82133579999999,144.9844195,6710.0,2018-06-28,05:11:32,1614.0600000000004,05:38:26,11.89
ID3979366935,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-03-19,21:49:16,12069.779999999999,01:10:25,59.6
ID3238549337,1,2,5,-37.8092101,144.9291215,-37.805623700000005,144.93317050000002,1257.0,2018-02-10,14:39:50,333.18,14:45:23,15.93
ID3157721032,1,8,1,-37.8158343,145.04645,-37.8208117,144.9550899,8588.0,2018-05-24,13:19:44,2477.580000000001,14:01:01,20.36
ID1471408918,0,6,2,-37.7874325,144.9803767,-37.8132882,144.94040880000003,5604.0,2018-07-22,09:45:58,1411.68,10:09:29,9.78
ID1423308586,0,4,3,-37.8020781,144.9885617,-37.8233026,144.96800380000002,3741.0,2018-06-06,21:50:31,1007.5800000000002,22:07:18,12.8
ID1319524802,0,5,4,-37.8093172,144.9340149,-37.8086792,145.0067071,6951.0,2018-02-16,03:36:40,1704.0600000000004,04:05:04,12.2
ID1314165349,0,2,5,-37.8250769,144.9513625,-37.8618349,144.90571599999998,8478.0,2018-06-05,09:41:45,2946.6,10:30:51,7.01
ID1276471428,0,8,5,-37.807202000000004,145.0266373,-37.7992528,144.9364904,8562.0,2018-01-20,20:22:32,2275.14,21:00:27,15.86
ID1296668879,0,8,3,-37.8158343,145.04645,-37.8157138,144.973834,6850.0,2018-06-13,14:59:27,1996.0800000000004,15:32:43,8.8
ID1152104847,0,6,8,-37.7738026,144.98364660000001,-37.807202000000004,145.0266373,11470.0,2018-04-13,11:26:13,3452.8199999999997,12:23:45,9.31
