,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID3246297287,1,5,7,-37.8086589,144.9259279,-37.8618349,144.90571599999998,11443.0,2018-04-11,23:15:52,3708.300000000001,0:17:40,31.4
1,ID1615766004,0,4,7,-37.80006229999999,145.0052351,-37.8618349,144.90571599999998,12425.0,2018-07-11,17:25:29,3978.1200000000013,18:31:47,12.19
2,ID1375132735,0,3,9,-37.8175101,144.99580509999998,-38.1109156,144.65417250000002,46466.0,2018-04-10,04:24:48,11267.22,7:32:35,27.35
3,ID1295185118,0,1,7,-37.8210134,144.9472586,-37.8618349,144.90571599999998,9006.0,2018-01-12,17:26:10,3050.100000000001,18:17:00,11.21
4,ID3992147845,1,7,5,-37.8618349,144.90571599999998,-37.796679600000004,144.93536980000002,13257.0,2018-04-27,18:38:26,4175.939999999999,19:48:01,27.41
5,ID3326400857,1,2,8,-37.814417,144.9388882,-37.8158343,145.04645,9822.0,2018-06-22,16:07:50,2742.9,16:53:32,22.04
6,ID3598466548,1,1,2,-37.817235499999995,144.95315680000002,-37.821655799999995,144.9350325,2442.0,2018-05-17,09:19:40,625.26,9:30:05,10.32
7,ID3496066861,1,4,7,-37.8024117,145.0094612,-37.8618349,144.90571599999998,12405.0,2018-05-21,03:54:35,4020.4800000000014,5:01:35,33.95
8,ID1680913929,0,5,3,-37.8063974,144.93179469999998,-37.81560220000001,144.9880167,5753.0,2018-03-18,03:52:40,1419.3,4:16:19,18.07
9,ID3271059815,1,2,3,-37.8203709,144.9495861,-37.8126411,144.97790780000003,2698.0,2018-05-09,10:47:25,571.3800000000001,10:56:56,7.24
10,ID1780358378,0,1,5,-37.8231612,144.95174640000002,-37.80409829999999,144.93342140000001,2846.0,2018-07-16,07:47:03,737.4,7:59:20,5.22
11,ID1132842414,0,3,7,-37.8162506,144.9877458,-37.8618349,144.90571599999998,9618.0,2018-07-13,22:53:35,3173.28,23:46:28,17.61
12,ID1792448208,0,7,2,-37.8618349,144.90571599999998,-37.8117484,144.9381916,10816.0,2018-01-11,17:42:59,3499.0799999999967,18:41:18,12.43
13,ID3842049294,1,3,1,-37.823035499999996,145.0087273,-37.81286179999999,144.95981840000002,5260.0,2018-07-03,20:13:18,1297.1400000000008,20:34:55,7.745
14,ID1553355020,0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033.0,2018-03-08,10:07:15,11355.660000000005,13:16:30,9.105
15,ID1407948890,0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-03-14,03:10:16,13173.36,6:49:49,28.34
16,ID1277090005,0,4,5,-37.811179700000004,145.000531,-37.809020700000005,144.907165,8834.0,2018-05-25,14:15:21,2429.8199999999993,14:55:50,8.99
17,ID5632917673,2,3,9,-37.8164844,145.00500300000002,-38.1109156,144.65417250000002,47326.0,2018-04-27,19:37:17,11357.7,22:46:34,529.24
18,ID3117028905,1,2,9,-37.8137302,144.94094760000002,-38.1109156,144.65417250000002,42197.0,2018-03-01,11:51:38,10112.94,14:40:10,45.67
19,ID3761032173,1,3,7,-37.820561600000005,144.9772587,-37.8618349,144.90571599999998,8714.0,2018-03-17,21:58:37,2917.2,22:47:14,31.06
20,ID3415994781,1,3,8,-37.8205354,144.9678249,-37.807202000000004,145.0266373,6609.0,2018-04-05,00:13:19,1703.8800000000006,0:41:42,23.26
21,ID1598647923,0,2,8,-37.8152749,144.94467340000003,-37.807202000000004,145.0266373,7946.0,2018-06-07,19:00:41,1993.1400000000006,19:33:54,9.66
22,ID1486506623,0,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999998,11630.0,2018-01-02,10:39:06,3697.0200000000013,11:40:43,7.2
23,ID3178662204,1,9,2,-38.1109156,144.65417250000002,-37.8118411,144.9389553,42581.0,2018-06-19,13:15:46,10201.079999999996,16:05:47,54.34
24,ID3948338483,1,7,3,-37.8618349,144.90571599999998,-37.8263493,144.9857044,9212.0,2018-05-06,12:16:38,3022.4999999999995,13:07:00,13.905
25,ID1150037330,0,4,7,-37.7991186,144.99544840000001,-37.8618349,144.90571599999998,11638.0,2018-07-13,01:12:37,3864.1200000000013,2:17:01,14.48
26,ID3708890482,1,5,9,-37.79932879999999,144.9248188,-38.1109156,144.65417250000002,48687.0,2018-05-16,16:58:05,11986.079999999998,20:17:51,59.05
27,ID1732512483,0,3,5,-37.8095507,144.99075119999998,-37.7999204,144.934833,7290.0,2018-05-16,11:42:31,1831.9200000000005,12:13:02,5.51
28,ID1765769724,0,4,7,-37.8120044,145.015264,-37.8618349,144.90571599999998,12699.0,2018-02-04,19:03:24,3970.5000000000014,20:09:34,17.16
29,ID1210275147,0,5,1,-37.8149881,144.92750149999998,-37.8031915,144.9605686,4760.0,2018-03-05,12:52:06,1212.42,13:12:18,3.875
30,ID3150621868,1,3,7,-37.8256995,144.9827761,-37.8618349,144.90571599999998,8880.0,2018-05-01,20:11:13,2927.52,21:00:00,24.35
31,ID5126622125,2,8,2,-37.807202000000004,145.0266373,-37.8121658,144.94205300000002,8237.0,2018-04-05,05:00:39,2064.959999999999,5:35:03,216.66
32,ID5227129031,2,8,4,-37.8158343,145.04645,-37.80737,144.9980726,4604.0,2018-06-02,10:04:09,1463.4599999999996,10:28:32,152.81
33,ID5600626843,2,5,4,-37.812521200000006,144.9316072,-37.81137879999999,145.00205830000002,7402.0,2018-04-17,18:00:01,1903.0200000000007,18:31:44,195.66
34,ID3670300255,1,1,9,-37.8021513,144.96619840000002,-38.1109156,144.65417250000002,44612.0,2018-01-16,09:46:32,10786.14,12:46:18,47.54
35,ID1867550025,0,2,8,-37.8134275,144.94109740000002,-37.807202000000004,145.0266373,8321.0,2018-04-13,21:15:26,2103.8400000000006,21:50:29,13.31
36,ID1120912399,0,7,1,-37.8618349,144.90571599999998,-37.8034982,144.9486654,10008.0,2018-05-14,23:09:27,3308.0999999999976,0:04:35,15.29
37,ID3564714188,1,4,6,-37.805485100000006,145.00446019999998,-37.773845,144.9836895,6704.0,2018-05-18,22:41:36,1498.3200000000004,23:06:34,11.215
38,ID3560277969,1,2,8,-37.8184816,144.9442466,-37.807202000000004,145.0266373,8567.0,2018-06-01,12:23:26,2214.9600000000005,13:00:20,21.06
39,ID3392895371,1,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-06-22,09:13:47,13204.979999999996,12:53:51,59.36
40,ID1918413367,0,9,5,-38.1109156,144.65417250000002,-37.810169099999996,144.9365608,42755.0,2018-01-21,04:44:26,10251.059999999998,7:35:17,14.62
41,ID1625746181,0,8,2,-37.8158343,145.04645,-37.812957,144.9434602,9420.0,2018-01-27,03:44:29,2696.2199999999993,4:29:25,16.86
42,ID3553335012,1,6,3,-37.7874325,144.9803767,-37.8153385,144.9951358,4468.0,2018-06-24,05:01:25,1105.5000000000002,5:19:50,24.14
43,ID3364894836,1,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-03-13,22:05:49,2437.38,22:46:26,26.16
44,ID1159490519,0,3,4,-37.8110053,144.9901675,-37.8160769,145.0058307,1812.0,2018-07-10,21:34:43,432.60000000000014,21:41:55,11.53
45,ID3236048416,1,4,9,-37.8110172,144.9995882,-38.1109156,144.65417250000002,46849.0,2018-03-17,05:37:20,11223.6,8:44:23,65.88
46,ID1862663824,0,5,1,-37.8003161,144.9263344,-37.817809000000004,144.95180449999998,4648.0,2018-01-18,05:27:07,1278.3599999999994,5:48:25,16.12
47,ID3515921177,1,4,5,-37.8065438,145.0107074,-37.8067703,144.9323875,7523.0,2018-02-01,18:05:33,1972.02,18:38:25,19.68
48,ID3125589696,1,1,4,-37.800822,144.9689705,-37.797750799999996,145.01061059999998,4541.0,2018-04-25,14:38:19,1205.16,14:58:24,16.95
49,ID3326451888,1,1,6,-37.818741100000004,144.953228,-37.7738026,144.98364660000001,9229.0,2018-06-10,07:54:12,2830.5600000000004,8:41:22,20.18
50,ID1124585690,0,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-05-09,21:23:28,11519.399999999998,0:35:27,28.12
51,ID1208451989,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-07-10,22:25:14,13204.979999999996,2:05:18,29.01
52,ID1530754542,0,5,4,-37.805408299999996,144.9346526,-37.8078693,144.99192050000002,5443.0,2018-04-02,21:00:21,1378.08,21:23:19,14.13
53,ID1665325031,0,3,2,-37.8193391,144.98325359999998,-37.814943299999996,144.94503490000002,4014.0,2018-03-18,22:56:43,944.52,23:12:27,16.52
54,ID3898097808,1,1,8,-37.8062153,144.9595345,-37.8158343,145.04645,7741.0,2018-05-20,10:40:56,2235.600000000001,11:18:11,17.69
55,ID1272385813,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-02-07,04:45:56,13204.979999999996,8:26:00,31.02
56,ID3841998489,1,2,8,-37.826139399999995,144.9518326,-37.807202000000004,145.0266373,8065.0,2018-03-17,00:06:31,2078.34,0:41:09,27.43
57,ID3657571779,1,7,4,-37.8618349,144.90571599999998,-37.809237599999996,145.0129581,12409.0,2018-07-13,23:37:45,3931.1399999999976,0:43:16,32.69
